i	lep_n	lep_etot	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	jet_DH_n	jet_DH_pt_0	jet_DH_pt_1	jet_DH_pt_2	jet_DH_pt_3	jet_DH_theta_0	jet_DH_theta_1	jet_DH_theta_2	jet_DH_theta_3	jet_DH_phi_0	jet_DH_phi_1	jet_DH_phi_2	jet_DH_phi_3	jet_DH_e_0	jet_DH_e_1	jet_DH_e_2	jet_DH_e_3	jet_KT_R05_n	jet_KT_R05_pt_0	jet_KT_R05_pt_1	jet_KT_R05_pt_2	jet_KT_R05_pt_3	jet_KT_R05_theta_0	jet_KT_R05_theta_1	jet_KT_R05_theta_2	jet_KT_R05_theta_3	jet_KT_R05_phi_0	jet_KT_R05_phi_1	jet_KT_R05_phi_2	jet_KT_R05_phi_3	jet_KT_R05_e_0	jet_KT_R05_e_1	jet_KT_R05_e_2	jet_KT_R05_e_3	jet_KT_R07_n	jet_KT_R07_pt_0	jet_KT_R07_pt_1	jet_KT_R07_pt_2	jet_KT_R07_pt_3	jet_KT_R07_theta_0	jet_KT_R07_theta_1	jet_KT_R07_theta_2	jet_KT_R07_theta_3	jet_KT_R07_phi_0	jet_KT_R07_phi_1	jet_KT_R07_phi_2	jet_KT_R07_phi_3	jet_KT_R07_e_0	jet_KT_R07_e_1	jet_KT_R07_e_2	jet_KT_R07_e_3	
5861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	38.631	11.969	43.155	4.925	2.853	2.361	2.51	0.158	-0.806	0.937	2.553	2.873	140.262	19.997	73.868	41.442	4.0	8.436	23.45	5.009	41.75	2.89	2.838	0.689	2.52	-0.875	-0.666	2.097	2.542	33.916	78.562	8.18	72.033	4.0	5.114	5.581	32.63	42.876	0.772	0.73	2.86	2.51	-1.694	2.133	-0.692	2.535	7.672	8.819	117.585	73.314	
5862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	11.037	5.884	31.197	7.256	2.224	3.036	0.486	0.143	-0.28	-3.137	3.039	0.281	16.965	61.763	68.04	58.396	4.0	9.297	9.961	4.486	10.205	0.428	0.44	1.946	0.568	3.013	-3.039	-0.828	3.103	22.429	23.484	5.042	19.133	4.0	4.38	5.053	5.121	29.331	0.739	1.937	2.303	0.472	1.199	-0.936	-0.127	3.122	6.838	5.882	7.394	65.046	
5863	1.0	6.928	6.522	0	0	0	0	1.227	0	0	0	0	2.402	0	0	0	0	6.928	0	0	0	0	4.0	98.447	17.112	29.242	2.871	0.782	0.298	1.173	3.063	-2.459	-1.946	2.186	1.891	141.567	66.398	32.83	51.858	4.0	18.896	30.019	67.851	25.571	0.499	0.868	0.739	1.239	-2.182	-2.287	-2.546	2.24	39.51	39.627	101.029	27.289	4.0	30.019	67.851	18.896	29.242	0.868	0.739	0.499	1.173	-2.287	-2.546	-2.182	2.186	39.627	101.029	39.51	32.83	
5864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	9.86	179.321	145.954	14.211	0.346	0.261	2.791	3.038	-1.074	-2.968	-0.017	1.262	30.808	699.358	428.926	143.189	4.0	15.022	123.111	52.547	139.632	2.999	0.249	0.287	2.802	1.11	-2.947	-2.904	-0.025	106.072	500.518	185.896	419.396	4.0	123.111	52.547	18.329	140.272	0.249	0.287	2.996	2.802	-2.947	-2.904	1.105	-0.023	500.518	185.896	126.132	421.123	
5865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	9.422	18.811	105.164	2.034	2.401	2.929	2.151	0.049	1.771	-0.476	0.209	-2.523	16.347	93.13	131.924	53.592	4.0	63.65	31.354	6.163	18.338	2.131	2.133	0.842	2.883	0.274	0.353	-1.577	-0.282	75.218	37.407	8.598	71.76	4.0	7.666	13.556	18.338	97.222	0.818	2.213	2.883	2.146	-1.722	-0.692	-0.282	0.3	11.236	18.524	71.76	116.777	
5866	1.0	472.945	227.257	0	0	0	0	2.64	0	0	0	0	-2.693	0	0	0	0	472.945	0	0	0	0	4.0	16.088	6.882	23.371	289.339	2.608	2.74	0.44	0.477	-2.909	0.162	-0.863	0.518	33.872	21.687	59.275	638.083	4.0	4.401	12.717	16.146	285.046	0.681	2.669	0.53	0.487	-1.867	-2.738	-0.525	0.497	7.185	28.041	32.294	609.128	4.0	6.878	12.717	14.35	285.046	0.844	2.669	0.437	0.487	-0.851	-2.738	-0.475	0.497	9.809	28.041	34.316	609.128	
5867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	35.141	19.108	9.022	59.613	1.745	2.775	0.269	2.45	2.451	0.86	-1.887	-2.177	39.252	61.14	42.389	101.931	4.0	7.531	26.067	19.482	31.547	2.279	2.3	2.345	1.851	-2.154	-1.805	-2.688	2.548	10.067	35.28	27.575	33.435	4.0	14.078	22.289	24.323	31.547	2.167	2.386	2.272	1.851	-1.779	-1.922	-2.696	2.548	17.581	33.212	32.905	33.435	
5868	1.0	217.796	56.943	0	0	0	0	2.877	0	0	0	0	0.266	0	0	0	0	217.796	0	0	0	0	4.0	8.894	13.345	28.98	25.482	2.55	2.511	0.173	0.225	-3.088	0.059	2.167	-1.211	20.03	30.426	172.791	121.583	4.0	4.779	4.975	5.072	18.879	0.1	1.922	0.181	0.129	-1.481	-0.809	-1.468	2.286	47.935	5.49	28.271	146.765	4.0	6.408	7.355	9.85	18.879	1.073	2.034	0.13	0.129	-1.723	-0.658	-1.474	2.286	7.849	8.849	76.206	146.765	
5869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	9.033	4.739	13.397	21.82	0.827	0.185	2.949	2.596	-1.963	1.1	1.943	-0.845	14.726	32.289	76.905	45.104	4.0	2.997	3.402	5.561	14.104	0.847	0.688	3.017	2.57	-3.089	-1.791	1.6	-1.14	4.142	5.573	44.778	26.155	4.0	5.319	5.561	7.59	15.393	2.261	3.017	2.254	2.616	1.045	1.6	-0.24	-1.166	7.501	44.778	10.701	30.992	
5870	1.0	130.654	69.092	0	0	0	0	2.584	0	0	0	0	-2.045	0	0	0	0	130.654	0	0	0	0	4.0	30.825	17.234	73.857	7.029	0.985	0.225	0.851	3.041	-0.081	-1.245	1.943	0.435	38.61	89.827	105.426	89.138	4.0	22.578	15.812	27.319	32.108	0.568	0.74	0.973	1.249	1.819	1.932	-0.18	2.09	42.171	23.801	33.389	34.498	4.0	9.951	32.108	32.729	41.02	0.552	1.249	0.942	0.645	-1.402	2.09	-0.206	1.838	19.488	34.498	41.91	69.505	
5871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	32.48	6.569	3.688	72.327	1.659	2.749	0.072	1.851	-0.706	-1.716	-1.051	1.965	34.417	19.807	61.614	87.511	4.0	9.38	52.299	8.58	22.57	1.488	1.698	1.508	1.749	1.987	2.047	-0.648	-0.788	9.541	53.23	8.672	23.588	4.0	6.293	6.425	31.089	61.665	0.433	2.292	1.684	1.666	-0.788	1.356	-0.749	2.038	15.402	9.137	32.259	62.771	
5872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	29.574	7.912	63.1	4.138	0.686	0.129	0.696	3.005	-1.697	0.479	2.851	-0.25	48.553	66.728	101.92	47.91	4.0	7.054	22.764	25.919	33.393	0.601	0.706	0.963	0.581	2.039	-1.6	2.895	2.924	12.688	35.289	32.112	61.133	4.0	7.054	25.919	33.679	28.528	0.601	0.963	0.576	0.715	2.039	2.895	2.925	-1.628	12.688	32.112	62.285	45.103	
5873	1.0	720.486	98.198	0	0	0	0	3.005	0	0	0	0	-1.682	0	0	0	0	720.486	0	0	0	0	4.0	13.431	16.069	31.745	40.213	2.658	2.916	0.771	0.149	1.185	-1.842	-1.056	0.905	33.325	81.193	51.262	283.982	4.0	7.288	12.664	18.935	37.352	0.63	1.116	0.566	0.214	2.021	-0.548	-1.399	0.824	12.605	14.356	35.903	176.047	4.0	11.362	16.375	18.515	38.244	0.77	0.444	0.988	0.212	-1.62	-1.24	-0.52	0.847	17.087	38.933	23.52	181.874	
5874	1.0	659.237	125.815	0	0	0	0	0.192	0	0	0	0	-0.505	0	0	0	0	659.237	0	0	0	0	4.0	19.226	14.31	99.321	41.818	0.272	0.265	2.747	2.973	-0.915	1.976	3.067	1.699	78.986	62.324	258.341	263.798	4.0	7.15	31.616	67.48	29.779	0.186	2.73	2.754	2.964	-0.563	-3.104	3.015	1.77	38.641	79.066	178.361	168.713	4.0	31.706	69.651	8.886	29.779	2.73	2.752	0.196	2.964	-3.103	2.998	-0.621	1.77	79.311	183.768	45.621	168.713	
5875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	36.415	15.049	32.227	32.921	2.946	2.667	2.947	0.197	-2.014	-0.428	1.958	-0.241	189.391	37.551	171.408	186.568	4.0	7.422	11.747	32.461	32.588	2.342	3.032	0.249	2.959	1.419	1.922	-0.45	-1.944	10.743	107.158	131.621	179.584	4.0	7.422	12.055	32.461	33.328	2.342	3.033	0.249	2.957	1.419	1.931	-0.45	-1.94	10.743	110.877	131.621	181.629	
5876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	11.597	11.389	11.948	35.927	0.258	0.4	2.837	2.891	-1.211	1.969	-3.064	0.534	48.796	33.867	44.867	154.644	4.0	5.965	6.518	6.746	19.09	0.753	2.324	2.043	2.952	-1.709	2.388	-0.546	0.808	9.112	9.382	8.075	101.169	4.0	6.124	7.291	7.296	19.09	0.61	2.297	2.035	2.952	1.118	2.46	-0.613	0.808	11.188	10.388	8.84	101.169	
5877	1.0	225.222	64.239	0	0	0	0	0.289	0	0	0	0	-1.816	0	0	0	0	225.222	0	0	0	0	4.0	7.752	13.356	48.08	32.936	2.853	2.429	0.426	0.91	-2.96	0.171	-0.778	1.515	32.089	26.906	122.119	44.931	4.0	5.56	8.757	18.843	36.113	2.296	0.719	1.216	0.449	-0.869	1.289	1.496	-0.637	7.798	13.521	20.329	83.377	4.0	8.648	18.843	13.733	36.113	2.185	1.216	0.639	0.449	-0.727	1.496	1.506	-0.637	11.352	20.329	23.962	83.377	
5878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	15.422	29.661	28.832	2.935	2.475	2.845	1.091	0.06	1.941	-0.828	-1.026	-1.084	28.451	112.504	33.77	58.793	4.0	5.075	14.72	11.266	15.452	2.316	1.108	1.13	2.912	2.233	-0.848	-1.075	-1.384	7.005	16.565	12.689	68.112	4.0	8.904	9.574	15.452	28.056	2.174	2.11	2.912	1.07	2.415	0.267	-1.384	-0.92	11.647	12.07	68.112	32.946	
5879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	14.516	84.752	47.418	7.107	2.934	2.887	1.753	0.179	-2.407	-0.763	2.31	-1.726	72.445	346.365	49.602	52.984	4.0	4.013	5.341	43.422	78.92	0.683	2.993	1.696	2.884	2.002	-2.284	2.277	-0.891	6.471	36.098	43.897	309.273	4.0	7.052	8.9	48.762	80.745	0.833	2.966	1.716	2.886	-1.657	-2.165	2.33	-0.906	10.198	50.937	50.954	318.921	
5880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	28.396	39.284	46.229	6.717	0.383	0.132	0.223	2.787	-2.808	-1.506	0.544	0.601	78.204	301.346	210.219	31.385	4.0	7.21	23.87	26.506	43.037	0.274	0.362	0.1	0.215	-1.38	-2.643	-1.608	0.501	26.696	67.473	264.92	201.39	4.0	8.567	23.87	26.506	43.037	0.294	0.362	0.1	0.215	-1.359	-2.643	-1.608	0.501	29.727	67.473	264.92	201.39	
5881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	12.248	13.759	37.708	40.106	0.565	0.207	2.91	2.974	2.067	-0.725	-1.4	1.448	24.745	73.874	170.288	249.225	4.0	8.156	8.471	23.244	28.747	2.958	0.635	3.006	2.953	0.561	2.067	1.601	-1.604	44.794	14.636	172.342	152.992	4.0	9.197	10.035	23.244	28.747	0.606	2.158	3.006	2.953	2.018	-0.654	1.601	-1.604	16.607	13.056	172.342	152.992	
5882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	36.075	62.512	63.207	1.971	0.216	0.126	0.698	3.053	0.303	1.331	1.552	0.181	171.318	501.934	100.739	30.492	4.0	20.987	38.514	27.474	65.658	0.689	0.65	0.181	0.136	1.631	1.517	0.324	1.235	33.279	63.931	152.837	482.707	4.0	4.376	27.474	58.76	66.445	0.486	0.181	0.665	0.137	0.73	0.324	1.549	1.238	9.496	152.837	95.787	486.309	
5883	1.0	571.001	83.821	0	0	0	0	0.147	0	0	0	0	0.521	0	0	0	0	571.001	0	0	0	0	4.0	199.983	11.918	50.094	7.629	2.532	2.214	2.154	0.099	-0.477	2.206	0.225	0.387	353.897	19.334	60.749	87.895	4.0	5.349	5.436	49.611	196.044	1.941	0.87	2.16	2.527	-0.819	-1.588	0.223	-0.459	6.079	7.42	60.224	340.257	4.0	6.303	6.697	50.744	196.044	1.717	1.791	2.165	2.527	2.603	-0.799	0.227	-0.459	6.986	7.584	62.158	340.257	
5884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	17.577	14.267	71.01	2.193	2.484	2.646	2.583	0.054	0.042	-1.065	1.972	0.112	29.792	32.197	138.165	51.594	4.0	4.471	6.604	12.962	61.226	2.339	2.616	2.555	2.566	1.518	-0.822	-0.021	2.027	6.465	13.296	23.479	112.818	4.0	4.287	9.793	15.828	65.424	0.617	2.67	2.505	2.558	2.165	-0.988	-0.039	1.997	7.652	21.891	27.104	119.803	
5885	1.0	153.104	116.65	0	0	0	0	0.866	0	0	0	0	1.958	0	0	0	0	153.104	0	0	0	0	4.0	8.711	57.094	73.191	4.648	2.701	2.374	2.306	0.193	1.923	-0.574	-1.787	3.032	25.239	84.961	100.347	36.271	4.0	31.648	38.955	25.825	34.438	2.409	2.217	2.321	2.365	-1.719	-1.866	-0.196	-0.855	47.605	49.0	35.63	49.331	4.0	31.648	42.16	25.825	34.438	2.409	2.221	2.321	2.365	-1.719	-1.848	-0.196	-0.855	47.605	53.989	35.63	49.331	
5886	2.0	229.96	145.324	7.449	0	0	0	2.413	0.684	0	0	0	-2.785	2.484	0	0	0	218.172	11.788	0	0	0	4.0	7.561	7.632	62.16	40.393	1.954	2.747	0.529	0.335	0.092	-2.739	2.496	-1.862	10.48	24.355	125.583	126.826	4.0	5.556	7.749	32.447	54.584	0.565	2.405	0.428	0.511	-1.159	-2.814	-2.048	2.496	10.515	11.625	78.373	112.133	4.0	7.893	8.128	32.447	57.485	0.481	2.411	0.428	0.521	-1.065	-2.784	-2.048	2.518	17.377	12.327	78.373	116.611	
5887	1.0	5.959	3.425	0	0	0	0	2.529	0	0	0	0	-1.302	0	0	0	0	5.959	0	0	0	0	4.0	16.231	8.799	32.092	28.024	2.636	2.868	0.12	0.141	-2.094	0.233	-1.793	1.471	35.538	37.985	270.853	206.312	4.0	2.572	14.092	22.269	26.887	2.019	2.628	0.125	0.104	3.126	-1.863	1.472	-1.773	3.022	28.958	179.294	259.134	4.0	4.052	14.092	22.269	26.887	2.309	2.628	0.125	0.104	-0.072	-1.863	1.472	-1.773	5.817	28.958	179.294	259.134	
5888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	27.739	37.963	41.439	4.449	0.434	0.318	0.193	3.1	3.062	1.299	-0.29	-2.707	66.363	127.805	227.152	126.271	4.0	8.039	23.066	25.802	32.517	2.924	0.252	0.423	0.191	-2.305	1.216	3.048	0.281	37.332	92.692	62.963	171.668	4.0	10.238	23.066	27.739	32.517	0.658	0.252	0.434	0.191	-0.892	1.216	3.062	0.281	17.466	92.692	66.363	171.668	
5889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	13.065	55.14	38.034	7.687	2.379	2.374	0.821	0.116	-0.428	-2.905	-1.549	1.311	23.502	91.736	52.749	77.996	4.0	5.566	27.692	22.772	35.139	0.646	2.179	2.159	0.835	1.974	-2.926	-2.768	-1.559	9.396	34.011	27.489	47.669	4.0	6.819	8.616	36.987	50.308	0.57	2.168	0.813	2.171	1.916	-0.642	-1.572	-2.855	12.927	11.366	51.503	61.5	
5890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	21.018	213.542	161.847	81.281	0.298	0.546	0.843	2.744	-1.021	1.265	1.308	-1.76	79.009	425.991	216.869	239.7	4.0	111.353	94.543	90.147	162.231	0.563	0.633	2.535	0.843	1.133	1.295	-1.874	1.307	208.813	160.219	158.398	217.432	4.0	111.892	94.543	88.883	162.231	0.562	0.633	2.536	0.843	1.131	1.295	-1.868	1.307	210.229	160.219	156.353	217.432	
5891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	7.033	8.155	163.744	93.784	0.428	0.381	2.682	2.496	1.828	-0.902	1.63	2.208	18.898	26.32	377.902	161.136	4.0	3.523	128.636	32.008	89.413	2.266	2.669	2.7	2.48	1.508	1.688	1.659	2.135	4.737	282.84	74.897	145.638	4.0	4.018	4.693	89.413	160.633	0.951	2.138	2.48	2.676	0.241	-0.668	2.135	1.682	5.355	6.041	145.638	357.738	
5892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	16.842	6.761	40.071	35.064	0.917	0.228	2.031	2.893	-0.191	-2.937	0.447	-1.486	21.495	40.326	47.537	154.264	4.0	5.201	16.258	35.155	39.316	1.156	0.918	1.93	2.745	-2.0	-0.172	0.518	-1.333	6.017	20.63	37.815	101.935	4.0	5.201	16.842	35.155	41.167	1.156	0.917	1.93	2.76	-2.0	-0.191	0.518	-1.332	6.017	21.495	37.815	111.04	
5893	1.0	692.369	149.611	0	0	0	0	0.218	0	0	0	0	-2.914	0	0	0	0	692.369	0	0	0	0	4.0	126.478	14.475	41.083	4.192	2.848	2.826	2.897	0.06	0.501	2.685	-0.791	2.845	439.789	51.639	172.544	85.619	4.0	34.4	22.342	63.546	30.084	2.877	2.879	2.835	2.913	0.533	0.356	0.56	-0.69	131.717	86.251	210.551	132.88	4.0	8.437	63.827	56.531	32.156	2.407	2.835	2.879	2.931	2.379	0.565	0.463	-0.75	13.686	211.727	217.968	154.332	
5894	1.0	417.154	126.418	0	0	0	0	2.834	0	0	0	0	-1.036	0	0	0	0	417.154	0	0	0	0	4.0	36.003	8.517	88.608	5.279	2.042	2.955	1.869	0.132	-2.44	-0.307	-0.609	-1.048	43.895	51.711	94.013	50.864	4.0	5.764	49.011	39.187	34.33	2.849	1.916	1.805	2.043	-1.037	-0.6	-0.588	-2.32	19.994	52.772	40.351	38.732	4.0	39.187	49.768	8.176	34.33	1.805	1.92	0.848	2.043	-0.588	-0.62	-1.723	-2.32	40.351	54.19	11.647	38.732	
5895	1.0	415.677	65.899	0	0	0	0	0.159	0	0	0	0	0.612	0	0	0	0	415.677	0	0	0	0	4.0	8.217	235.338	16.441	7.991	0.298	0.97	0.763	2.922	1.631	0.599	-1.005	0.318	31.137	290.269	27.207	53.136	4.0	12.618	80.917	133.184	23.675	0.825	0.99	1.042	0.662	-0.613	0.603	0.669	0.174	17.493	96.952	154.523	38.794	4.0	80.917	135.406	12.618	23.675	0.99	1.032	0.825	0.662	0.603	0.678	-0.613	0.174	96.952	158.653	17.493	38.794	
5896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	99.388	2.334	43.695	58.972	1.662	0.064	2.603	2.381	-1.865	-0.211	-0.488	1.71	100.022	47.994	87.414	95.028	4.0	5.236	35.983	52.063	98.529	0.849	2.647	2.219	1.664	-1.629	-0.5	1.676	-1.86	7.198	76.154	65.71	98.96	4.0	6.382	35.983	52.063	99.388	2.095	2.647	2.219	1.662	-0.624	-0.5	1.676	-1.865	7.976	76.154	65.71	100.022	
5897	2.0	661.52	208.59	16.564	0	0	0	2.806	2.499	0	0	0	1.079	-1.608	0	0	0	633.897	27.623	0	0	0	4.0	7.947	32.504	86.017	14.171	0.274	0.845	1.513	2.95	1.597	-1.915	-2.426	0.207	31.882	49.005	93.421	92.605	4.0	9.547	13.607	26.197	83.884	2.446	2.789	1.038	1.501	-1.714	1.05	-2.168	-2.346	15.186	39.397	30.697	85.329	4.0	9.967	13.607	26.492	83.884	2.472	2.789	1.026	1.501	-1.733	1.05	-2.166	-2.346	16.42	39.397	31.383	85.329	
5898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	11.072	43.475	79.499	7.203	0.6	0.446	0.721	2.842	-1.184	-3.068	1.811	-0.128	21.255	101.635	126.618	37.085	4.0	24.212	17.386	28.319	45.893	0.421	0.471	0.811	0.701	-3.006	3.08	1.945	1.807	59.368	38.633	39.481	71.436	4.0	8.129	28.319	48.123	42.861	2.166	0.811	0.694	0.442	-0.771	1.945	1.777	-3.068	10.649	39.481	76.001	100.918	
5899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	60.692	5.069	141.664	2.601	1.377	0.192	1.545	3.088	1.148	2.604	0.322	1.771	62.296	34.452	146.249	57.918	4.0	52.519	24.369	60.237	60.692	1.57	1.488	1.511	1.377	0.366	0.438	0.319	1.148	52.675	24.655	60.579	62.296	4.0	6.188	77.447	64.509	60.692	1.015	1.551	1.548	1.377	2.063	0.392	0.282	1.148	8.176	78.162	66.189	62.296	
5900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	11.022	7.557	41.477	35.195	0.992	0.178	2.346	3.014	1.378	-1.919	-2.929	-2.933	16.931	49.827	58.935	289.622	4.0	4.223	12.746	26.236	38.627	2.59	3.006	2.969	2.354	-1.47	-2.999	-3.058	-2.887	8.153	94.003	153.014	54.693	4.0	12.746	27.398	5.491	39.793	3.006	2.968	2.316	2.345	-2.999	-3.071	-0.027	-2.892	94.003	159.002	7.934	55.985	
5901	1.0	338.78	75.129	0	0	0	0	0.224	0	0	0	0	0.718	0	0	0	0	338.78	0	0	0	0	4.0	35.348	6.661	116.913	10.887	1.961	2.856	1.841	0.165	-0.967	0.763	-2.285	-0.803	39.72	28.664	126.851	76.526	4.0	49.443	44.127	22.5	33.684	1.915	1.888	1.556	1.949	-2.288	-2.219	-2.21	-1.013	52.687	46.506	22.761	37.013	4.0	8.965	29.596	22.5	93.515	1.771	2.045	1.556	1.902	-0.558	-1.063	-2.21	-2.255	9.833	33.945	22.761	99.193	
5902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	28.75	8.911	64.646	6.846	0.895	0.511	0.366	2.914	2.083	0.967	-2.237	0.185	38.032	20.173	186.629	44.186	4.0	9.845	46.611	5.958	25.54	0.422	0.358	2.019	0.855	-2.547	-2.333	-0.681	2.055	24.046	133.114	7.0	34.182	4.0	7.035	8.423	27.615	57.959	2.229	2.206	0.871	0.364	0.987	-0.768	2.095	-2.396	9.642	11.458	36.927	163.367	
5903	1.0	300.077	78.19	0	0	0	0	0.264	0	0	0	0	2.22	0	0	0	0	300.077	0	0	0	0	4.0	20.561	126.454	35.912	211.651	0.262	0.337	2.883	2.664	-1.118	1.842	-1.348	0.222	85.111	389.177	148.738	477.248	4.0	133.45	68.901	24.863	112.729	2.666	2.653	2.776	0.346	0.133	0.211	-0.982	1.806	291.545	147.216	69.73	332.539	4.0	11.13	25.243	116.295	202.928	2.504	2.78	0.344	2.663	1.951	-0.996	1.801	0.159	19.81	71.599	345.583	441.799	
5904	1.0	233.495	42.435	0	0	0	0	0.183	0	0	0	0	-1.084	0	0	0	0	233.495	0	0	0	0	4.0	7.283	13.804	72.264	82.481	0.427	0.256	2.867	2.931	1.825	-1.188	-0.956	2.15	19.048	63.994	270.911	400.089	4.0	5.944	21.143	48.93	64.652	0.35	2.969	2.935	2.87	-1.289	2.208	2.135	-0.966	17.423	122.985	239.062	241.165	4.0	21.143	49.121	5.944	64.652	2.969	2.936	0.35	2.87	2.208	2.132	-1.289	-0.966	122.985	240.647	17.423	241.165	
5905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	12.211	32.892	8.826	13.923	2.686	2.957	0.385	0.641	-1.026	2.68	-1.108	1.716	32.675	184.178	26.155	31.046	4.0	3.893	4.575	9.628	18.635	0.535	2.565	2.982	2.929	-0.304	-1.933	3.019	2.839	7.706	8.541	60.811	88.586	4.0	10.788	17.52	5.413	6.501	2.979	2.929	1.886	0.469	3.017	2.832	1.295	2.223	66.488	83.108	6.102	14.874	
5906	1.0	415.295	64.326	0	0	0	0	2.986	0	0	0	0	2.095	0	0	0	0	415.295	0	0	0	0	4.0	6.6	2.338	42.532	46.403	1.929	3.005	1.091	0.318	0.226	-2.95	-0.897	-2.198	8.749	20.822	48.752	155.416	4.0	15.944	30.304	36.346	6.277	0.344	0.388	1.156	0.797	-2.203	-2.19	-0.869	-1.054	47.277	80.149	39.824	8.927	4.0	36.346	5.065	5.237	46.765	1.156	0.637	0.755	0.37	-0.869	-0.635	-1.323	-2.186	39.824	8.844	7.879	129.659	
5907	1.0	7.141	6.417	0	0	0	0	2.025	0	0	0	0	1.421	0	0	0	0	7.141	0	0	0	0	4.0	5.014	53.879	54.174	4.55	2.986	1.923	1.117	0.081	-0.521	1.431	0.189	-2.105	44.156	62.479	60.84	68.93	4.0	6.287	30.177	20.32	53.191	1.974	1.78	2.146	1.13	-0.966	1.314	1.564	0.19	7.355	30.914	25.057	59.133	4.0	6.287	20.32	35.613	54.174	1.974	2.146	1.784	1.117	-0.966	1.564	1.229	0.189	7.355	25.057	37.781	60.84	
5908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	20.691	7.745	78.496	234.527	2.099	2.891	0.994	1.396	-3.099	0.275	-0.8	-0.308	26.127	40.761	114.416	241.734	4.0	17.389	76.339	94.684	142.751	2.076	1.26	1.41	1.391	-2.913	-0.758	-0.501	-0.181	20.055	80.387	96.363	145.371	4.0	17.478	76.339	94.684	142.751	2.073	1.26	1.41	1.391	-2.912	-0.758	-0.501	-0.181	20.146	80.387	96.363	145.371	
5909	1.0	79.778	72.712	0	0	0	0	1.995	0	0	0	0	1.144	0	0	0	0	79.778	0	0	0	0	4.0	7.457	6.677	38.312	3.225	2.332	3.017	2.782	0.093	1.019	-2.536	-1.717	-2.11	11.549	57.522	112.387	42.725	4.0	4.017	13.473	19.894	5.599	2.295	2.789	2.8	3.005	1.46	-1.66	-1.826	-1.65	5.579	39.013	59.43	41.149	4.0	14.279	19.894	5.354	5.599	2.794	2.8	2.159	3.005	-1.614	-1.826	2.628	-1.65	42.091	59.43	7.112	41.149	
