i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
3954	882.37	718.827	79.931	1.208	2.445	85.485	87.717	585.354	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	125.546	69.729	47.92	1.834	1.806	-1.334	0.352	75.224	50.321	0	0	0	0	0	0
3955	1215.765	1207.081	37.993	0.227	2.314	168.709	125.999	1030.594	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	234.512	62.478	48.173	1.717	2.841	0.052	-2.436	66.006	168.506	0	0	0	0	0	0
3956	1389.553	1389.431	38.77	0.124	-2.079	312.862	96.149	974.306	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	327.29	47.483	43.975	2.839	2.87	0.01	2.279	160.822	166.468	0	0	0	0	0	0
3957	1405.978	1405.907	26.999	0.129	-2.443	210.551	174.186	91.013	1.0	8.608	11.0	-	-	-	-	3.269	-	-	-	-	2.752	-	-	-	-	1.086	-	-	-	-	8.608	-	-	-	-	-1.0	-	-	-	-	2.0	225.335	40.305	21.47	2.728	2.96	1.216	-1.256	104.396	120.939	0	0	0	0	0	0
3958	1380.574	1380.39	45.193	1.758	-3.041	45.994	93.102	1269.669	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	95.368	57.886	31.187	1.31	1.789	0.665	-1.589	60.591	34.777	0	0	0	0	0	0
3959	1145.978	1116.03	125.728	2.324	2.876	172.335	89.337	529.426	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	178.939	71.419	58.01	0.75	0.953	-0.05	-0.532	107.01	71.929	0	0	0	0	0	0
3960	1137.227	1106.392	121.325	2.396	2.875	178.888	95.788	918.906	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	203.739	75.228	49.862	0.52	1.567	-0.466	0.036	152.885	50.854	0	0	0	0	0	0
3961	1223.679	1211.581	69.443	0.865	0.836	91.231	105.227	929.825	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	215.743	65.312	29.079	2.661	0.414	-1.875	2.761	142.539	73.203	0	0	0	0	0	0
3962	714.153	666.017	11.323	3.081	2.507	186.209	96.049	459.894	1.0	61.697	13.0	-	-	-	-	15.049	-	-	-	-	0.246	-	-	-	-	-1.795	-	-	-	-	61.697	-	-	-	-	-1.0	-	-	-	-	2.0	112.546	32.653	13.398	0.631	0.249	1.006	-1.828	58.163	54.383	0	0	0	0	0	0
3963	1224.069	1215.046	125.155	0.302	-0.938	420.343	84.083	432.729	1.0	96.389	13.0	-	-	-	-	24.603	-	-	-	-	2.883	-	-	-	-	1.633	-	-	-	-	96.389	-	-	-	-	-1.0	-	-	-	-	2.0	323.42	88.929	21.935	2.762	2.866	2.512	1.591	241.777	81.643	0	0	0	0	0	0
3964	1362.418	1362.226	59.449	2.83	2.582	193.63	94.113	548.604	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	198.804	43.311	22.626	0.339	0.352	-0.874	0.072	131.777	67.027	0	0	0	0	0	0
3965	1396.716	1396.647	83.858	0.676	0.385	134.047	92.245	1194.522	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	157.057	81.532	20.703	2.49	1.455	-3.006	-1.422	135.749	21.309	0	0	0	0	0	0
3966	1350.094	1349.003	267.588	1.62	0.712	267.914	126.003	946.606	2.0	17.28	13.0	11.0	-	-	-	9.664	7.256	-	-	-	1.309	1.64	-	-	-	-2.776	-2.203	-	-	-	10.005	7.275	-	-	-	-1.0	-1.0	-	-	-	2.0	290.817	157.917	118.588	1.741	1.243	-2.209	-2.724	163.555	127.262	0	0	0	0	0	0
3967	1401.276	1401.2	56.446	1.562	1.651	56.448	92.298	1225.717	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	71.487	52.008	16.611	1.449	1.962	-1.787	-0.335	53.398	18.089	0	0	0	0	0	0
3968	747.924	747.118	29.317	2.743	1.504	75.471	91.517	545.832	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	92.502	42.5	16.166	0.67	0.794	-1.372	2.266	69.636	22.866	0	0	0	0	0	0
